optimizer_step,_step,_step__MIN,_step__MAX,global_grad_norm,global_grad_norm__MIN,global_grad_norm__MAX,,,,,,
208,415,415,415,0.742383122444153,0.742383122444153,0.742383122444153,,,,,,
209,417,417,417,0.725609123706818,0.725609123706818,0.725609123706818,,,,,,
210,419,419,419,0.466438174247742,0.466438174247742,0.466438174247742,,,,,,
211,421,421,421,0.644558727741242,0.644558727741242,0.644558727741242,,,,,,
212,423,423,423,0.568139851093292,0.568139851093292,0.568139851093292,,,,,,
213,425,425,425,0.562101781368256,0.562101781368256,0.562101781368256,,,,,,
214,427,427,427,0.619004547595978,0.619004547595978,0.619004547595978,,,,,,
215,429,429,429,0.781189918518066,0.781189918518066,0.781189918518066,,,,,,
216,431,431,431,0.900377213954926,0.900377213954926,0.900377213954926,,,,,,
217,433,433,433,0.728252112865448,0.728252112865448,0.728252112865448,,,,,,
218,435,435,435,0.774500370025635,0.774500370025635,0.774500370025635,,,,,,
219,437,437,437,0.850224196910858,0.850224196910858,0.850224196910858,,,,,,
220,439,439,439,0.728131294250488,0.728131294250488,0.728131294250488,,,,,,
221,441,441,441,0.63185054063797,0.63185054063797,0.63185054063797,,,,,,
222,443,443,443,0.620163917541504,0.620163917541504,0.620163917541504,,,,,,
223,445,445,445,0.682515263557434,0.682515263557434,0.682515263557434,,,,,,
224,447,447,447,0.668198108673096,0.668198108673096,0.668198108673096,,,,,,
225,449,449,449,0.615126609802246,0.615126609802246,0.615126609802246,,,,,,
226,451,451,451,0.748077809810638,0.748077809810638,0.748077809810638,,,,,,
227,453,453,453,0.650776743888855,0.650776743888855,0.650776743888855,,,,,,
228,455,455,455,0.801592648029327,0.801592648029327,0.801592648029327,,,,,,
229,457,457,457,0.585837721824646,0.585837721824646,0.585837721824646,,,,,,
230,459,459,459,0.555554687976837,0.555554687976837,0.555554687976837,,,,,,
231,461,461,461,0.794526636600494,0.794526636600494,0.794526636600494,,,,,,
232,463,463,463,0.752988815307617,0.752988815307617,0.752988815307617,,,,,,
233,465,465,465,0.903453528881073,0.903453528881073,0.903453528881073,,,,,,
234,467,467,467,0.854323267936707,0.854323267936707,0.854323267936707,,,,,,
235,469,469,469,0.804913103580475,0.804913103580475,0.804913103580475,,,,,,
236,471,471,471,0.884980976581574,0.884980976581574,0.884980976581574,,,,,,
237,473,473,473,0.884657323360443,0.884657323360443,0.884657323360443,,,,,,
238,475,475,475,0.642856061458588,0.642856061458588,0.642856061458588,,,,,,
239,477,477,477,0.677344381809235,0.677344381809235,0.677344381809235,,,,,,
240,479,479,479,0.780414998531342,0.780414998531342,0.780414998531342,,,,,,
241,481,481,481,0.909676373004913,0.909676373004913,0.909676373004913,,,,,,
