"optimizer_step","recur1b-mig-212 - _step","recur1b-mig-212 - _step__MIN","recur1b-mig-212 - _step__MAX","recur1b-mig-212 - word_embed_l2_param_norm","recur1b-mig-212 - word_embed_l2_param_norm__MIN","recur1b-mig-212 - word_embed_l2_param_norm__MAX"
"285","569","569","569","128.63156127929688","128.63156127929688","128.63156127929688"
"286","571","571","571","128.6732635498047","128.6732635498047","128.6732635498047"
"287","573","573","573","128.71478271484375","128.71478271484375","128.71478271484375"
"288","575","575","575","128.75747680664062","128.75747680664062","128.75747680664062"
"289","577","577","577","128.79916381835938","128.79916381835938","128.79916381835938"
"290","579","579","579","128.84121704101562","128.84121704101562","128.84121704101562"
"291","581","581","581","128.8827667236328","128.8827667236328","128.8827667236328"
"292","583","583","583","128.92381286621094","128.92381286621094","128.92381286621094"
"293","585","585","585","128.96510314941406","128.96510314941406","128.96510314941406"
"294","587","587","587","129.00619506835938","129.00619506835938","129.00619506835938"
"295","589","589","589","129.04696655273438","129.04696655273438","129.04696655273438"
"296","591","591","591","129.08815002441406","129.08815002441406","129.08815002441406"
"297","593","593","593","129.128662109375","129.128662109375","129.128662109375"
"298","595","595","595","129.1700897216797","129.1700897216797","129.1700897216797"
"299","597","597","597","129.2106475830078","129.2106475830078","129.2106475830078"
"300","599","599","599","129.2512664794922","129.2512664794922","129.2512664794922"
"301","601","601","601","129.29098510742188","129.29098510742188","129.29098510742188"
"302","603","603","603","129.33164978027344","129.33164978027344","129.33164978027344"
"303","605","605","605","129.37164306640625","129.37164306640625","129.37164306640625"
"304","607","607","607","129.410888671875","129.410888671875","129.410888671875"
"305","609","609","609","129.4513397216797","129.4513397216797","129.4513397216797"
"306","611","611","611","129.49085998535156","129.49085998535156","129.49085998535156"
"307","613","613","613","129.5303955078125","129.5303955078125","129.5303955078125"
"308","615","615","615","129.56976318359375","129.56976318359375","129.56976318359375"
"309","617","617","617","129.60971069335938","129.60971069335938","129.60971069335938"
"310","619","619","619","129.64938354492188","129.64938354492188","129.64938354492188"
"311","621","621","621","129.6895294189453","129.6895294189453","129.6895294189453"
"312","623","623","623","129.72804260253906","129.72804260253906","129.72804260253906"
"313","625","625","625","129.7670440673828","129.7670440673828","129.7670440673828"
"314","627","627","627","129.8065643310547","129.8065643310547","129.8065643310547"
"315","629","629","629","129.84500122070312","129.84500122070312","129.84500122070312"
"316","631","631","631","129.88392639160156","129.88392639160156","129.88392639160156"
"317","633","633","633","129.92230224609375","129.92230224609375","129.92230224609375"
"318","635","635","635","129.96087646484375","129.96087646484375","129.96087646484375"
"319","637","637","637","129.9994659423828","129.9994659423828","129.9994659423828"
"320","639","639","639","130.03741455078125","130.03741455078125","130.03741455078125"
"321","641","641","641","130.0763702392578","130.0763702392578","130.0763702392578"
"322","643","643","643","130.1145782470703","130.1145782470703","130.1145782470703"
"323","645","645","645","130.152587890625","130.152587890625","130.152587890625"
"324","647","647","647","130.19058227539062","130.19058227539062","130.19058227539062"
"325","649","649","649","130.22860717773438","130.22860717773438","130.22860717773438"
"326","651","651","651","130.2672119140625","130.2672119140625","130.2672119140625"
"327","653","653","653","130.30531311035156","130.30531311035156","130.30531311035156"
"328","655","655","655","130.34361267089844","130.34361267089844","130.34361267089844"
"329","657","657","657","130.38124084472656","130.38124084472656","130.38124084472656"
"330","659","659","659","130.41934204101562","130.41934204101562","130.41934204101562"
"331","661","661","661","130.45741271972656","130.45741271972656","130.45741271972656"
"332","663","663","663","130.49571228027344","130.49571228027344","130.49571228027344"
"333","665","665","665","130.53343200683594","130.53343200683594","130.53343200683594"
"334","667","667","667","130.5720977783203","130.5720977783203","130.5720977783203"
"335","669","669","669","130.609130859375","130.609130859375","130.609130859375"
"336","671","671","671","130.6466522216797","130.6466522216797","130.6466522216797"
"337","673","673","673","130.68453979492188","130.68453979492188","130.68453979492188"
"338","675","675","675","130.7222137451172","130.7222137451172","130.7222137451172"
"339","677","677","677","130.75926208496094","130.75926208496094","130.75926208496094"
"340","679","679","679","130.7960968017578","130.7960968017578","130.7960968017578"
"341","681","681","681","130.8331756591797","130.8331756591797","130.8331756591797"
"342","683","683","683","130.87059020996094","130.87059020996094","130.87059020996094"
"343","685","685","685","130.90745544433594","130.90745544433594","130.90745544433594"
"344","687","687","687","130.9449462890625","130.9449462890625","130.9449462890625"
