"total_tokens","_step","_step__MIN","_step__MAX","val_loss_1","val_loss_1__MIN","val_loss_1__MAX","val_loss_2","val_loss_2__MIN","val_loss_2__MAX","val_loss_4","val_loss_4__MIN","val_loss_4__MAX","val_loss_8","val_loss_8__MIN","val_loss_8__MAX","val_loss_16","val_loss_16__MIN","val_loss_16__MAX"
"528482304","2015","2015","2015","3.595614433288574","3.595614433288574","3.595614433288574","3.340096950531006","3.340096950531006","3.340096950531006","3.2761926651000977","3.2761926651000977","3.2761926651000977","3.269195556640625","3.269195556640625","3.269195556640625","3.2691404819488525","3.2691404819488525","3.2691404819488525"
"536870912","2047","2047","2047","3.5867085456848145","3.5867085456848145","3.5867085456848145","3.3334691524505615","3.3334691524505615","3.3334691524505615","3.267841100692749","3.267841100692749","3.267841100692749","3.2617077827453613","3.2617077827453613","3.2617077827453613","3.2614593505859375","3.2614593505859375","3.2614593505859375"
"545259520","2079","2079","2079","3.5805294513702393","3.5805294513702393","3.5805294513702393","3.3256683349609375","3.3256683349609375","3.3256683349609375","3.2603118419647217","3.2603118419647217","3.2603118419647217","3.253937244415283","3.253937244415283","3.253937244415283","3.253640651702881","3.253640651702881","3.253640651702881"
"553648128","2111","2111","2111","3.5760183334350586","3.5760183334350586","3.5760183334350586","3.3244078159332275","3.3244078159332275","3.3244078159332275","3.258805990219116","3.258805990219116","3.258805990219116","3.2531511783599854","3.2531511783599854","3.2531511783599854","3.253082513809204","3.253082513809204","3.253082513809204"
"562036736","2143","2143","2143","3.567044973373413","3.567044973373413","3.567044973373413","3.313479423522949","3.313479423522949","3.313479423522949","3.250030517578125","3.250030517578125","3.250030517578125","3.2442843914031982","3.2442843914031982","3.2442843914031982","3.2442545890808105","3.2442545890808105","3.2442545890808105"
"570425344","2175","2175","2175","3.570451498031616","3.570451498031616","3.570451498031616","3.3149960041046143","3.3149960041046143","3.3149960041046143","3.2493691444396973","3.2493691444396973","3.2493691444396973","3.2432191371917725","3.2432191371917725","3.2432191371917725","3.242971658706665","3.242971658706665","3.242971658706665"
"578813952","2207","2207","2207","3.568268060684204","3.568268060684204","3.568268060684204","3.3098368644714355","3.3098368644714355","3.3098368644714355","3.2425694465637207","3.2425694465637207","3.2425694465637207","3.2365520000457764","3.2365520000457764","3.2365520000457764","3.236403703689575","3.236403703689575","3.236403703689575"
"587202560","2239","2239","2239","3.5647201538085938","3.5647201538085938","3.5647201538085938","3.297966957092285","3.297966957092285","3.297966957092285","3.23374342918396","3.23374342918396","3.23374342918396","3.2271909713745117","3.2271909713745117","3.2271909713745117","3.2271077632904053","3.2271077632904053","3.2271077632904053"
"595591168","2271","2271","2271","3.56060528755188","3.56060528755188","3.56060528755188","3.3010783195495605","3.3010783195495605","3.3010783195495605","3.234461545944214","3.234461545944214","3.234461545944214","3.2281768321990967","3.2281768321990967","3.2281768321990967","3.228158473968506","3.228158473968506","3.228158473968506"
"603979776","2303","2303","2303","3.5583882331848145","3.5583882331848145","3.5583882331848145","3.2980129718780518","3.2980129718780518","3.2980129718780518","3.2324135303497314","3.2324135303497314","3.2324135303497314","3.2261314392089844","3.2261314392089844","3.2261314392089844","3.2259674072265625","3.2259674072265625","3.2259674072265625"
"612368384","2335","2335","2335","3.5474939346313477","3.5474939346313477","3.5474939346313477","3.2887017726898193","3.2887017726898193","3.2887017726898193","3.2198126316070557","3.2198126316070557","3.2198126316070557","3.2138030529022217","3.2138030529022217","3.2138030529022217","3.213615894317627","3.213615894317627","3.213615894317627"
"620756992","2367","2367","2367","3.551274061203003","3.551274061203003","3.551274061203003","3.2871696949005127","3.2871696949005127","3.2871696949005127","3.2207415103912354","3.2207415103912354","3.2207415103912354","3.2150259017944336","3.2150259017944336","3.2150259017944336","3.2150073051452637","3.2150073051452637","3.2150073051452637"
"629145600","2399","2399","2399","3.5397770404815674","3.5397770404815674","3.5397770404815674","3.286647319793701","3.286647319793701","3.286647319793701","3.221588134765625","3.221588134765625","3.221588134765625","3.21502423286438","3.21502423286438","3.21502423286438","3.2149791717529297","3.2149791717529297","3.2149791717529297"
